event_name,event_start_at,event_end_at,receiver_uid,event_type,event_time,first_follow,bind_date,brand_id
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Ub74e5e631bd84ab5ba8f5833b00029f0,enter,2022-09-20 21:42:19,2022-02-10 13:29:17,2022-03-17 19:17:29,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Ub74e5e631bd84ab5ba8f5833b00029f0,enter,2022-09-20 21:39:33,2022-02-10 13:29:17,2022-03-17 19:17:29,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U84638ee35fd3a6f59aca6fd4f160b339,push,2022-09-20 20:42:06,2021-04-03 19:25:19,,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U84638ee35fd3a6f59aca6fd4f160b339,enter,2022-09-20 20:42:06,2021-04-03 19:25:19,,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U7a8a5bd40828d6b9ffaca348568aebc3,enter,2022-09-20 20:10:49,2022-06-11 16:54:58,2022-06-23 20:55:52,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U7a8a5bd40828d6b9ffaca348568aebc3,enter,2022-09-20 20:03:30,2022-06-11 16:54:58,2022-06-23 20:55:52,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4a813f88cd72060425b26e784d0ec3fd,enter,2022-09-20 19:26:40,,2021-07-24 18:37:41,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4a813f88cd72060425b26e784d0ec3fd,enter,2022-09-20 19:20:04,,2021-07-24 18:37:41,1
測試B,2022-09-16,2022-09-30,U349919f5dd09c1b0b97a87d36658f55e,enter,2022-09-20 19:18:40,,2019-11-20 09:47:48,1
測試B,2022-09-16,2022-09-30,U3a61e4fe6dcc5517193f8b997ecddcfd,enter,2022-09-20 19:16:43,2021-04-22 22:51:27,,1
測試B,2022-09-16,2022-09-30,U349919f5dd09c1b0b97a87d36658f55e,push,2022-09-20 19:16:22,,2019-11-20 09:47:48,1
