utm_medium,mapping_type
referral,Referral
organic,Organic
cpc,Paid Media
paid_search,Paid Media
dirbuy_display,Paid Media
dirbuy_native,Paid Media
prog_native,Paid Media
prog_display,Paid Media
prog_deal,Paid Media
retarg_display,Paid Media
website_partnership,Paid Media
dirbuy_video,Paid Media
prog_video,Paid Media
social_post_paid,Paid Media
social_video_paid,Paid Media
social_influencer,Paid Media
website_influencer,Paid Media
email_dbrenting,Paid Media
all_affiliate,Paid Media
cse_feed,Paid Media
cse_display,Paid Media
msg,Paid Media
qrcode,Paid Media
influencer_orga,Earned Media
freeimpr,Earned Media
peimpr,Earned Media
social_video_orga,Owned Media
social_post_orga,Owned Media
crmmsg,Owned Media
ownqrcode,Owned Media
eba_ec,Owned Media
email_brand,Owned Media
email_trigger,Owned Media
email_loyalty,Owned Media
